State,category,value,year
Alaska,TotalC,621107.0,2013
Arizona,TotalC,1414383.0,2013
Arkansas,TotalC,1096438.0,2013
California,TotalC,7665241.0,2013
Colorado,TotalC,1470844.0,2013
Connecticut,TotalC,754901.0,2013
Delaware,TotalC,273716.0,2013
Florida,TotalC,4076406.0,2013
Georgia,TotalC,2782782.0,2013
Hawaii,TotalC,281329.0,2013
Idaho,TotalC,526613.0,2013
Illinois,TotalC,3991089.0,2013
Indiana,TotalC,2894764.0,2013
Iowa,TotalC,1518870.0,2013
Kansas,TotalC,1105160.0,2013
Kentucky,TotalC,1838898.0,2013
Louisiana,TotalC,4196622.0,2013
Maine,TotalC,409785.0,2013
Maryland,TotalC,1395961.0,2013
Massachusetts,TotalC,1428433.0,2013
Michigan,TotalC,2832425.0,2013
Minnesota,TotalC,1858816.0,2013
Mississippi,TotalC,1138181.0,2013
Missouri,TotalC,1847506.0,2013
Montana,TotalC,405934.0,2013
Nebraska,TotalC,871815.0,2013
Nevada,TotalC,659568.0,2013
New Hampshire,TotalC,304538.0,2013
New Jersey,TotalC,2311685.0,2013
New Mexico,TotalC,670257.0,2013
New York,TotalC,3626150.0,2013
North Carolina,TotalC,2530649.0,2013
North Dakota,TotalC,594439.0,2013
Ohio,TotalC,3739974.0,2013
Oklahoma,TotalC,1620837.0,2013
Oregon,TotalC,991867.0,2013
Pennsylvania,TotalC,3826959.0,2013
Rhode Island,TotalC,199165.0,2013
South Carolina,TotalC,1590456.0,2013
South Dakota,TotalC,389619.0,2013
Tennessee,TotalC,2132508.0,2013
Texas,TotalC,12660976.0,2013
Utah,TotalC,831668.0,2013
Vermont,TotalC,137527.0,2013
Virginia,TotalC,2414477.0,2013
Washington,TotalC,2036309.0,2013
West Virginia,TotalC,743612.0,2013
Wisconsin,TotalC,1813458.0,2013
Wyoming,TotalC,539146.0,2013
District of Columbia,TotalC,175560.0,2013
Alabama,TotalC,1958221.0,2014
Alaska,TotalC,603119.0,2014
Arizona,TotalC,1422590.0,2014
Arkansas,TotalC,1114409.0,2014
California,TotalC,7620082.0,2014
Colorado,TotalC,1477177.0,2014
Connecticut,TotalC,750019.0,2014
Delaware,TotalC,274013.0,2014
Florida,TotalC,4121680.0,2014
Georgia,TotalC,2850990.0,2014
Hawaii,TotalC,281206.0,2014
Idaho,TotalC,519935.0,2014
Illinois,TotalC,4042313.0,2014
Indiana,TotalC,2931630.0,2014
Iowa,TotalC,1541900.0,2014
Kansas,TotalC,1132354.0,2014
Kentucky,TotalC,1770741.0,2014
Louisiana,TotalC,4279443.0,2014
Maine,TotalC,410530.0,2014
Maryland,TotalC,1400614.0,2014
Massachusetts,TotalC,1437640.0,2014
Michigan,TotalC,2881550.0,2014
Minnesota,TotalC,1912065.0,2014
Mississippi,TotalC,1155549.0,2014
Missouri,TotalC,1903839.0,2014
Montana,TotalC,403446.0,2014
Nebraska,TotalC,864347.0,2014
Nevada,TotalC,660256.0,2014
New Hampshire,TotalC,310142.0,2014
New Jersey,TotalC,2340188.0,2014
New Mexico,TotalC,679136.0,2014
New York,TotalC,3742892.0,2014
North Carolina,TotalC,2554776.0,2014
North Dakota,TotalC,640095.0,2014
Ohio,TotalC,3809648.0,2014
Oklahoma,TotalC,1679856.0,2014
Oregon,TotalC,987145.0,2014
Pennsylvania,TotalC,3902434.0,2014
Rhode Island,TotalC,204459.0,2014
South Carolina,TotalC,1632085.0,2014
South Dakota,TotalC,391857.0,2014
Tennessee,TotalC,2194512.0,2014
Texas,TotalC,12899498.0,2014
Utah,TotalC,797995.0,2014
Vermont,TotalC,139897.0,2014
Virginia,TotalC,2430205.0,2014
Washington,TotalC,2011941.0,2014
West Virginia,TotalC,752942.0,2014
Wisconsin,TotalC,1868867.0,2014
Wyoming,TotalC,535612.0,2014
District of Columbia,TotalC,178929.0,2014
Alabama,TotalP,1419613.0,2010
Alaska,TotalP,1738207.0,2010
Arizona,TotalP,580948.0,2010
Arkansas,TotalP,1247709.0,2010
California,TotalP,2532205.0,2010
Colorado,TotalP,2561459.0,2010
Connecticut,TotalP,203188.0,2010
Delaware,TotalP,3575.0,2010
Florida,TotalP,510201.0,2010
Georgia,TotalP,561796.0,2010
Hawaii,TotalP,16245.0,2010
Idaho,TotalP,130652.0,2010
Illinois,TotalP,2090939.0,2010
Indiana,TotalP,987568.0,2010
Iowa,TotalP,673102.0,2010
Kansas,TotalP,812830.0,2010
Kentucky,TotalP,2781466.0,2010
Louisiana,TotalP,3170742.0,2010
Maine,TotalP,151940.0,2010
Maryland,TotalP,250812.0,2010
Massachusetts,TotalP,108868.0,2010
Michigan,TotalP,626639.0,2010
Minnesota,TotalP,429062.0,2010
Mississippi,TotalP,448713.0,2010
Missouri,TotalP,198297.0,2010
Montana,TotalP,1148154.0,2010
Nebraska,TotalP,399822.0,2010
Nevada,TotalP,51846.0,2010
New Hampshire,TotalP,156829.0,2010
New Jersey,TotalP,376845.0,2010
New Mexico,TotalP,2255073.0,2010
New York,TotalP,836703.0,2010
North Carolina,TotalP,576162.0,2010
North Dakota,TotalP,1253749.0,2010
Ohio,TotalP,1032440.0,2010
Oklahoma,TotalP,2576077.0,2010
Oregon,TotalP,393763.0,2010
Pennsylvania,TotalP,3064745.0,2010
Rhode Island,TotalP,3399.0,2010
South Carolina,TotalP,649978.0,2010
South Dakota,TotalP,225387.0,2010
Tennessee,TotalP,505731.0,2010
Texas,TotalP,11412134.0,2010
Utah,TotalP,1073063.0,2010
Vermont,TotalP,80143.0,2010
Virginia,TotalP,1096973.0,2010
Washington,TotalP,907957.0,2010
West Virginia,TotalP,3699729.0,2010
Wisconsin,TotalP,329441.0,2010
Wyoming,TotalP,10536570.0,2010
District of Columbia,TotalP,95.0,2010
Alabama,TotalP,1400108.0,2011
Alaska,TotalP,1641980.0,2011
Arizona,TotalP,617956.0,2011
Arkansas,TotalP,1391190.0,2011
California,TotalP,2634789.0,2011
Colorado,TotalP,2750097.0,2011
Connecticut,TotalP,195792.0,2011
Delaware,TotalP,3976.0,2011
Florida,TotalP,500907.0,2011
Georgia,TotalP,549483.0,2011
Hawaii,TotalP,18378.0,2011
Idaho,TotalP,176717.0,2011
Illinois,TotalP,2189423.0,2011
Indiana,TotalP,1062319.0,2011
Iowa,TotalP,689146.0,2011
Kansas,TotalP,781704.0,2011
Kentucky,TotalP,2840858.0,2011
Louisiana,TotalP,3972994.0,2011
Maine,TotalP,154764.0,2011
Maryland,TotalP,272882.0,2011
Massachusetts,TotalP,103058.0,2011
Michigan,TotalP,680857.0,2011
Minnesota,TotalP,425422.0,2011
Mississippi,TotalP,441341.0,2011
Missouri,TotalP,197714.0,2011
Montana,TotalP,1104165.0,2011
Nebraska,TotalP,390808.0,2011
Nevada,TotalP,53807.0,2011
New Hampshire,TotalP,131919.0,2011
New Jersey,TotalP,390931.0,2011
New Mexico,TotalP,2260681.0,2011
New York,TotalP,879395.0,2011
North Carolina,TotalP,572796.0,2011
North Dakota,TotalP,1518406.0,2011
Ohio,TotalP,1067943.0,2011
Oklahoma,TotalP,2704301.0,2011
Oregon,TotalP,513597.0,2011
Pennsylvania,TotalP,3870671.0,2011
Rhode Island,TotalP,3419.0,2011
South Carolina,TotalP,661898.0,2011
South Dakota,TotalP,248370.0,2011
Tennessee,TotalP,506701.0,2011
Texas,TotalP,12571450.0,2011
Utah,TotalP,1128821.0,2011
Vermont,TotalP,80677.0,2011
Virginia,TotalP,1085234.0,2011
Washington,TotalP,1101186.0,2011
West Virginia,TotalP,3820203.0,2011
Wisconsin,TotalP,312552.0,2011
Wyoming,TotalP,10353148.0,2011
District of Columbia,TotalP,271.0,2011
Alabama,TotalP,1433370.0,2012
Alaska,TotalP,1563102.0,2012
Arizona,TotalP,598039.0,2012
Arkansas,TotalP,1472778.0,2012
California,TotalP,2334863.0,2012
Colorado,TotalP,2921385.0,2012
Connecticut,TotalP,205073.0,2012
Delaware,TotalP,3530.0,2012
Florida,TotalP,442188.0,2012
Georgia,TotalP,555238.0,2012
Hawaii,TotalP,20485.0,2012
Idaho,TotalP,154829.0,2012
Illinois,TotalP,2436702.0,2012
Indiana,TotalP,1046014.0,2012
Iowa,TotalP,677875.0,2012
Kansas,TotalP,793080.0,2012
Kentucky,TotalP,2391118.0,2012
Louisiana,TotalP,3789540.0,2012
Maine,TotalP,152331.0,2012
Maryland,TotalP,245197.0,2012
Massachusetts,TotalP,110384.0,2012
Michigan,TotalP,626107.0,2012
Minnesota,TotalP,417674.0,2012
Mississippi,TotalP,390246.0,2012
Missouri,TotalP,203118.0,2012
Montana,TotalP,1008736.0,2012
Nebraska,TotalP,357156.0,2012
Nevada,TotalP,60252.0,2012
New Hampshire,TotalP,129929.0,2012
New Jersey,TotalP,393682.0,2012
New Mexico,TotalP,2315892.0,2012
New York,TotalP,817908.0,2012
North Carolina,TotalP,560887.0,2012
North Dakota,TotalP,2135154.0,2012
Ohio,TotalP,1067944.0,2012
Oklahoma,TotalP,2950525.0,2012
Oregon,TotalP,496254.0,2012
Pennsylvania,TotalP,4730336.0,2012
Rhode Island,TotalP,2822.0,2012
South Carolina,TotalP,646738.0,2012
South Dakota,TotalP,248616.0,2012
Tennessee,TotalP,468757.0,2012
Texas,TotalP,14180982.0,2012
Utah,TotalP,1118599.0,2012
Vermont,TotalP,77979.0,2012
Virginia,TotalP,1045095.0,2012
Washington,TotalP,1108998.0,2012
West Virginia,TotalP,3720223.0,2012
Wisconsin,TotalP,333635.0,2012
Wyoming,TotalP,9611304.0,2012
District of Columbia,TotalP,277.0,2012
Alabama,TotalP,1463647.0,2013
Alaska,TotalP,1513859.0,2013
Arizona,TotalP,594994.0,2013
Arkansas,TotalP,1432074.0,2013
California,TotalP,2390424.0,2013
Colorado,TotalP,2838193.0,2013
Connecticut,TotalP,207118.0,2013
Delaware,TotalP,3818.0,2013
Florida,TotalP,542570.0,2013
Georgia,TotalP,581082.0,2013
Hawaii,TotalP,25465.0,2013
Idaho,TotalP,138799.0,2013
Illinois,TotalP,2519993.0,2013
Indiana,TotalP,1106441.0,2013
Iowa,TotalP,730473.0,2013
Kansas,TotalP,830704.0,2013
Kentucky,TotalP,2138426.0,2013
Louisiana,TotalP,3208044.0,2013
Maine,TotalP,155380.0,2013
Maryland,TotalP,248554.0,2013
Massachusetts,TotalP,102521.0,2013
Michigan,TotalP,654767.0,2013
Minnesota,TotalP,405967.0,2013
Mississippi,TotalP,410271.0,2013
Missouri,TotalP,191759.0,2013
Montana,TotalP,1104932.0,2013
Nebraska,TotalP,370523.0,2013
Nevada,TotalP,70208.0,2013
New Hampshire,TotalP,166328.0,2013
New Jersey,TotalP,403225.0,2013
New Mexico,TotalP,2367423.0,2013
New York,TotalP,872500.0,2013
North Carolina,TotalP,606427.0,2013
North Dakota,TotalP,2634178.0,2013
Ohio,TotalP,1149882.0,2013
Oklahoma,TotalP,3137443.0,2013
Oregon,TotalP,458848.0,2013
Pennsylvania,TotalP,5873742.0,2013
Rhode Island,TotalP,2627.0,2013
South Carolina,TotalP,690644.0,2013
South Dakota,TotalP,236679.0,2013
Tennessee,TotalP,544916.0,2013
Texas,TotalP,15688922.0,2013
Utah,TotalP,1122868.0,2013
Vermont,TotalP,84188.0,2013
Virginia,TotalP,1023009.0,2013
Washington,TotalP,1003330.0,2013
West Virginia,TotalP,3809750.0,2013
Wisconsin,TotalP,310413.0,2013
Wyoming,TotalP,9233869.0,2013
District of Columbia,TotalP,323.0,2013
Alabama,TotalP,1353725.0,2014
Alaska,TotalP,1475129.0,2014
Arizona,TotalP,635050.0,2014
Arkansas,TotalP,1454325.0,2014
California,TotalP,2413494.0,2014
Colorado,TotalP,3041634.0,2014
Connecticut,TotalP,197271.0,2014
Delaware,TotalP,4189.0,2014
Florida,TotalP,553738.0,2014
Georgia,TotalP,597955.0,2014
Hawaii,TotalP,27166.0,2014
Idaho,TotalP,154936.0,2014
Illinois,TotalP,2683815.0,2014
Indiana,TotalP,1123098.0,2014
Iowa,TotalP,757014.0,2014
Kansas,TotalP,880650.0,2014
Kentucky,TotalP,2055121.0,2014
Louisiana,TotalP,2852411.0,2014
Maine,TotalP,151257.0,2014
Maryland,TotalP,250058.0,2014
Massachusetts,TotalP,124671.0,2014
Michigan,TotalP,682788.0,2014
Minnesota,TotalP,466967.0,2014
Mississippi,TotalP,402842.0,2014
Missouri,TotalP,199586.0,2014
Montana,TotalP,1161804.0,2014
Nebraska,TotalP,401699.0,2014
Nevada,TotalP,71140.0,2014
New Hampshire,TotalP,161033.0,2014
New Jersey,TotalP,388386.0,2014
New Mexico,TotalP,2514744.0,2014
New York,TotalP,871720.0,2014
North Carolina,TotalP,595660.0,2014
North Dakota,TotalP,3261360.0,2014
Ohio,TotalP,1547368.0,2014
Oklahoma,TotalP,3572829.0,2014
Oregon,TotalP,479935.0,2014
Pennsylvania,TotalP,7087392.0,2014
Rhode Island,TotalP,4304.0,2014
South Carolina,TotalP,675110.0,2014
South Dakota,TotalP,249789.0,2014
Tennessee,TotalP,499501.0,2014
Texas,TotalP,17597105.0,2014
Utah,TotalP,1170681.0,2014
Vermont,TotalP,85874.0,2014
Virginia,TotalP,979780.0,2014
Washington,TotalP,1027404.0,2014
West Virginia,TotalP,4154063.0,2014
Wisconsin,TotalP,298603.0,2014
Wyoming,TotalP,9361755.0,2014
District of Columbia,TotalP,360.0,2014
Alabama,TotalE,21630.5,2010
Alaska,TotalE,6473.9,2010
Arizona,TotalE,19372.7,2010
Arkansas,TotalE,12269.4,2010
California,TotalE,117090.0,2010
Colorado,TotalE,16888.5,2010
Connecticut,TotalE,14245.0,2010
Delaware,TotalE,3584.1,2010
Florida,TotalE,59825.6,2010
Georgia,TotalE,37231.8,2010
Hawaii,TotalE,5854.8,2010
Idaho,TotalE,5683.2,2010
Illinois,TotalE,45326.7,2010
Indiana,TotalE,27475.6,2010
Iowa,TotalE,14967.3,2010
Kansas,TotalE,11846.4,2010
Kentucky,TotalE,19987.7,2010
Louisiana,TotalE,44999.5,2010
Maine,TotalE,6340.6,2010
Maryland,TotalE,21401.3,2010
Massachusetts,TotalE,24558.0,2010
Michigan,TotalE,34591.5,2010
Minnesota,TotalE,20946.6,2010
Mississippi,TotalE,13314.3,2010
Missouri,TotalE,22961.9,2010
Montana,TotalE,4744.0,2010
Nebraska,TotalE,8724.6,2010
Nevada,TotalE,9246.5,2010
New Hampshire,TotalE,5226.7,2010
New Jersey,TotalE,37144.8,2010
New Mexico,TotalE,7207.1,2010
New York,TotalE,61972.0,2010
North Carolina,TotalE,33119.5,2010
North Dakota,TotalE,4555.5,2010
Ohio,TotalE,45104.2,2010
Oklahoma,TotalE,17066.4,2010
Oregon,TotalE,12716.1,2010
Pennsylvania,TotalE,49095.9,2010
Rhode Island,TotalE,3689.9,2010
South Carolina,TotalE,18661.9,2010
South Dakota,TotalE,3877.3,2010
Tennessee,TotalE,25580.6,2010
Texas,TotalE,135014.3,2010
Utah,TotalE,8387.3,2010
Vermont,TotalE,2783.6,2010
Virginia,TotalE,29847.2,2010
Washington,TotalE,22762.2,2010
West Virginia,TotalE,7925.9,2010
Wisconsin,TotalE,21593.9,2010
Wyoming,TotalE,4524.9,2010
District of Columbia,TotalE,2497.5,2010
Alabama,TotalE,24447.7,2011
Alaska,TotalE,8050.4,2011
Arizona,TotalE,22628.6,2011
Arkansas,TotalE,14178.8,2011
California,TotalE,135097.7,2011
Colorado,TotalE,19269.7,2011
Connecticut,TotalE,15498.1,2011
Delaware,TotalE,3987.7,2011
Florida,TotalE,67345.1,2011
Georgia,TotalE,42315.7,2011
Hawaii,TotalE,7668.6,2011
Idaho,TotalE,6621.1,2011
Illinois,TotalE,50877.8,2011
Indiana,TotalE,32483.4,2011
Iowa,TotalE,17308.3,2011
Kansas,TotalE,13565.2,2011
Kentucky,TotalE,23231.2,2011
Louisiana,TotalE,53391.3,2011
Maine,TotalE,7425.8,2011
Maryland,TotalE,23062.5,2011
Massachusetts,TotalE,27485.1,2011
Michigan,TotalE,39387.8,2011
Minnesota,TotalE,24297.6,2011
Mississippi,TotalE,15188.7,2011
Missouri,TotalE,26567.3,2011
Montana,TotalE,5702.1,2011
Nebraska,TotalE,9995.9,2011
Nevada,TotalE,9794.5,2011
New Hampshire,TotalE,6071.5,2011
New Jersey,TotalE,42752.9,2011
New Mexico,TotalE,8724.8,2011
New York,TotalE,66310.1,2011
North Carolina,TotalE,36145.8,2011
North Dakota,TotalE,6480.9,2011
Ohio,TotalE,50635.8,2011
Oklahoma,TotalE,19766.9,2011
Oregon,TotalE,14924.3,2011
Pennsylvania,TotalE,55448.9,2011
Rhode Island,TotalE,3907.3,2011
South Carolina,TotalE,21119.1,2011
South Dakota,TotalE,4596.4,2011
Tennessee,TotalE,29861.2,2011
Texas,TotalE,163261.8,2011
Utah,TotalE,10486.0,2011
Vermont,TotalE,3223.2,2011
Virginia,TotalE,33423.7,2011
Washington,TotalE,27091.6,2011
West Virginia,TotalE,9023.6,2011
Wisconsin,TotalE,24577.7,2011
Wyoming,TotalE,5498.9,2011
District of Columbia,TotalE,2453.0,2011
Alabama,TotalE,24192.8,2012
Alaska,TotalE,7884.5,2012
Arizona,TotalE,22872.4,2012
Arkansas,TotalE,13755.5,2012
California,TotalE,135932.0,2012
Colorado,TotalE,19295.6,2012
Connecticut,TotalE,15126.6,2012
Delaware,TotalE,4040.4,2012
Florida,TotalE,66380.0,2012
Georgia,TotalE,39837.2,2012
Hawaii,TotalE,7840.3,2012
Idaho,TotalE,6720.4,2012
Illinois,TotalE,47883.4,2012
Indiana,TotalE,32334.8,2012
Iowa,TotalE,16583.3,2012
Kansas,TotalE,13438.2,2012
Kentucky,TotalE,22535.8,2012
Louisiana,TotalE,44310.8,2012
Maine,TotalE,7164.0,2012
Maryland,TotalE,22470.7,2012
Massachusetts,TotalE,26511.6,2012
Michigan,TotalE,38965.2,2012
Minnesota,TotalE,24201.2,2012
Mississippi,TotalE,15314.7,2012
Missouri,TotalE,25904.3,2012
Montana,TotalE,5569.9,2012
Nebraska,TotalE,10138.1,2012
Nevada,TotalE,10113.0,2012
New Hampshire,TotalE,5950.6,2012
New Jersey,TotalE,39242.0,2012
New Mexico,TotalE,8855.4,2012
New York,TotalE,65453.9,2012
North Carolina,TotalE,36240.3,2012
North Dakota,TotalE,7095.5,2012
Ohio,TotalE,49523.1,2012
Oklahoma,TotalE,19780.9,2012
Oregon,TotalE,14994.4,2012
Pennsylvania,TotalE,54238.3,2012
Rhode Island,TotalE,3844.0,2012
South Carolina,TotalE,20946.0,2012
South Dakota,TotalE,4786.1,2012
Tennessee,TotalE,28787.6,2012
Texas,TotalE,152010.2,2012
Utah,TotalE,10604.7,2012
Vermont,TotalE,3227.9,2012
Virginia,TotalE,34366.7,2012
Washington,TotalE,27632.5,2012
West Virginia,TotalE,8945.3,2012
Wisconsin,TotalE,24139.9,2012
Wyoming,TotalE,5728.4,2012
District of Columbia,TotalE,2218.2,2012
Alabama,TotalE,24127.0,2013
Alaska,TotalE,7281.9,2013
Arizona,TotalE,22841.1,2013
Arkansas,TotalE,14102.1,2013
California,TotalE,137050.7,2013
Colorado,TotalE,19670.7,2013
Connecticut,TotalE,15364.3,2013
Delaware,TotalE,3856.6,2013
Florida,TotalE,66108.5,2013
Georgia,TotalE,39938.5,2013
Hawaii,TotalE,7645.3,2013
Idaho,TotalE,6990.4,2013
Illinois,TotalE,49122.2,2013
Indiana,TotalE,33414.8,2013
Iowa,TotalE,17434.4,2013
Kansas,TotalE,14104.0,2013
Kentucky,TotalE,22805.3,2013
Louisiana,TotalE,44637.9,2013
Maine,TotalE,7512.4,2013
Maryland,TotalE,22856.9,2013
Massachusetts,TotalE,27681.7,2013
Michigan,TotalE,40621.4,2013
Minnesota,TotalE,24881.5,2013
Mississippi,TotalE,15793.9,2013
Missouri,TotalE,26667.6,2013
Montana,TotalE,5621.0,2013
Nebraska,TotalE,10323.1,2013
Nevada,TotalE,10243.6,2013
New Hampshire,TotalE,6118.6,2013
New Jersey,TotalE,39447.6,2013
New Mexico,TotalE,8959.8,2013
New York,TotalE,66230.7,2013
North Carolina,TotalE,37527.2,2013
North Dakota,TotalE,7748.7,2013
Ohio,TotalE,50067.0,2013
Oklahoma,TotalE,19581.1,2013
Oregon,TotalE,14882.5,2013
Pennsylvania,TotalE,54519.6,2013
Rhode Island,TotalE,4008.0,2013
South Carolina,TotalE,21735.9,2013
South Dakota,TotalE,4771.3,2013
Tennessee,TotalE,29033.0,2013
Texas,TotalE,158213.9,2013
Utah,TotalE,11068.3,2013
Vermont,TotalE,3325.3,2013
Virginia,TotalE,34350.5,2013
Washington,TotalE,26597.1,2013
West Virginia,TotalE,8940.3,2013
Wisconsin,TotalE,24929.5,2013
Wyoming,TotalE,5532.1,2013
District of Columbia,TotalE,2229.1,2013
Alabama,TotalE,24146.5,2014
Alaska,TotalE,6890.6,2014
Arizona,TotalE,22609.6,2014
Arkansas,TotalE,13884.9,2014
California,TotalE,137719.8,2014
Colorado,TotalE,19994.4,2014
Connecticut,TotalE,15483.4,2014
Delaware,TotalE,3848.5,2014
Florida,TotalE,66413.6,2014
Georgia,TotalE,39727.8,2014
Hawaii,TotalE,7378.6,2014
Idaho,TotalE,6980.2,2014
Illinois,TotalE,51550.0,2014
Indiana,TotalE,34151.9,2014
Iowa,TotalE,18021.8,2014
Kansas,TotalE,14646.3,2014
Kentucky,TotalE,22467.0,2014
Louisiana,TotalE,45399.7,2014
Maine,TotalE,7557.6,2014
Maryland,TotalE,22951.3,2014
Massachusetts,TotalE,27574.4,2014
Michigan,TotalE,40740.1,2014
Minnesota,TotalE,25312.2,2014
Mississippi,TotalE,15948.5,2014
Missouri,TotalE,26719.0,2014
Montana,TotalE,5527.5,2014
Nebraska,TotalE,10330.1,2014
Nevada,TotalE,10513.0,2014
New Hampshire,TotalE,6360.8,2014
New Jersey,TotalE,39116.9,2014
New Mexico,TotalE,9019.7,2014
New York,TotalE,68056.2,2014
